,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin
0,1,0,3,male,22.0,1,0,7.25,C
1,2,1,1,female,38.0,1,0,71.2833,C
2,3,1,3,female,26.0,0,0,7.925,C
3,4,1,1,female,35.0,1,0,53.1,C
4,5,0,3,male,35.0,0,0,8.05,C
5,6,0,3,male,29.69911764705882,0,0,8.4583,C
6,7,0,1,male,54.0,0,0,51.8625,E
7,8,0,3,male,2.0,3,1,21.075,C
8,9,1,3,female,27.0,0,2,11.1333,C
9,10,1,2,female,14.0,1,0,30.0708,C
10,11,1,3,female,4.0,1,1,16.7,G
11,12,1,1,female,58.0,0,0,26.55,C
12,13,0,3,male,20.0,0,0,8.05,C
13,14,0,3,male,39.0,1,5,31.275,C
14,15,0,3,female,14.0,0,0,7.8542,C
15,16,1,2,female,55.0,0,0,16.0,C
16,17,0,3,male,2.0,4,1,29.125,C
17,18,1,2,male,29.69911764705882,0,0,13.0,C
18,19,0,3,female,31.0,1,0,18.0,C
19,20,1,3,female,29.69911764705882,0,0,7.225,C
20,21,0,2,male,35.0,0,0,26.0,C
21,22,1,2,male,34.0,0,0,13.0,D
22,23,1,3,female,15.0,0,0,8.0292,C
23,24,1,1,male,28.0,0,0,35.5,A
24,25,0,3,female,8.0,3,1,21.075,C
25,26,1,3,female,38.0,1,5,31.3875,C
26,27,0,3,male,29.69911764705882,0,0,7.225,C
27,28,0,1,male,19.0,3,2,263.0,C
28,29,1,3,female,29.69911764705882,0,0,7.8792,C
29,30,0,3,male,29.69911764705882,0,0,7.8958,C
30,31,0,1,male,40.0,0,0,27.7208,C
31,32,1,1,female,29.69911764705882,1,0,146.5208,B
32,33,1,3,female,29.69911764705882,0,0,7.75,C
33,34,0,2,male,66.0,0,0,10.5,C
34,35,0,1,male,28.0,1,0,82.1708,C
35,36,0,1,male,42.0,1,0,52.0,C
36,37,1,3,male,29.69911764705882,0,0,7.2292,C
37,38,0,3,male,21.0,0,0,8.05,C
38,39,0,3,female,18.0,2,0,18.0,C
39,40,1,3,female,14.0,1,0,11.2417,C
40,41,0,3,female,40.0,1,0,9.475,C
41,42,0,2,female,27.0,1,0,21.0,C
42,43,0,3,male,29.69911764705882,0,0,7.8958,C
43,44,1,2,female,3.0,1,2,41.5792,C
44,45,1,3,female,19.0,0,0,7.8792,C
45,46,0,3,male,29.69911764705882,0,0,8.05,C
46,47,0,3,male,29.69911764705882,1,0,15.5,C
47,48,1,3,female,29.69911764705882,0,0,7.75,C
48,49,0,3,male,29.69911764705882,2,0,21.6792,C
49,50,0,3,female,18.0,1,0,17.8,C
50,51,0,3,male,7.0,4,1,39.6875,C
51,52,0,3,male,21.0,0,0,7.8,C
52,53,1,1,female,49.0,1,0,76.7292,D
53,54,1,2,female,29.0,1,0,26.0,C
54,55,0,1,male,65.0,0,1,61.9792,B
55,56,1,1,male,29.69911764705882,0,0,35.5,C
56,57,1,2,female,21.0,0,0,10.5,C
57,58,0,3,male,28.5,0,0,7.2292,C
58,59,1,2,female,5.0,1,2,27.75,C
59,60,0,3,male,11.0,5,2,46.9,C
60,61,0,3,male,22.0,0,0,7.2292,C
61,62,1,1,female,38.0,0,0,80.0,B
62,63,0,1,male,45.0,1,0,83.475,C
63,64,0,3,male,4.0,3,2,27.9,C
64,65,0,1,male,29.69911764705882,0,0,27.7208,C
65,66,1,3,male,29.69911764705882,1,1,15.2458,C
66,67,1,2,female,29.0,0,0,10.5,F
67,68,0,3,male,19.0,0,0,8.1583,C
68,69,1,3,female,17.0,4,2,7.925,C
69,70,0,3,male,26.0,2,0,8.6625,C
70,71,0,2,male,32.0,0,0,10.5,C
71,72,0,3,female,16.0,5,2,46.9,C
72,73,0,2,male,21.0,0,0,73.5,C
73,74,0,3,male,26.0,1,0,14.4542,C
74,75,1,3,male,32.0,0,0,56.4958,C
75,76,0,3,male,25.0,0,0,7.65,F
76,77,0,3,male,29.69911764705882,0,0,7.8958,C
77,78,0,3,male,29.69911764705882,0,0,8.05,C
78,79,1,2,male,0.83,0,2,29.0,C
79,80,1,3,female,30.0,0,0,12.475,C
80,81,0,3,male,22.0,0,0,9.0,C
81,82,1,3,male,29.0,0,0,9.5,C
82,83,1,3,female,29.69911764705882,0,0,7.7875,C
83,84,0,1,male,28.0,0,0,47.1,C
84,85,1,2,female,17.0,0,0,10.5,C
85,86,1,3,female,33.0,3,0,15.85,C
86,87,0,3,male,16.0,1,3,34.375,C
87,88,0,3,male,29.69911764705882,0,0,8.05,C
88,89,1,1,female,23.0,3,2,263.0,C
89,90,0,3,male,24.0,0,0,8.05,C
90,91,0,3,male,29.0,0,0,8.05,C
91,92,0,3,male,20.0,0,0,7.8542,C
92,93,0,1,male,46.0,1,0,61.175,E
93,94,0,3,male,26.0,1,2,20.575,C
94,95,0,3,male,59.0,0,0,7.25,C
95,96,0,3,male,29.69911764705882,0,0,8.05,C
96,97,0,1,male,71.0,0,0,34.6542,A
97,98,1,1,male,23.0,0,1,63.3583,D
98,99,1,2,female,34.0,0,1,23.0,C
99,100,0,2,male,34.0,1,0,26.0,C
100,101,0,3,female,28.0,0,0,7.8958,C
101,102,0,3,male,29.69911764705882,0,0,7.8958,C
102,103,0,1,male,21.0,0,1,77.2875,D
103,104,0,3,male,33.0,0,0,8.6542,C
104,105,0,3,male,37.0,2,0,7.925,C
105,106,0,3,male,28.0,0,0,7.8958,C
106,107,1,3,female,21.0,0,0,7.65,C
107,108,1,3,male,29.69911764705882,0,0,7.775,C
108,109,0,3,male,38.0,0,0,7.8958,C
109,110,1,3,female,29.69911764705882,1,0,24.15,C
110,111,0,1,male,47.0,0,0,52.0,C
111,112,0,3,female,14.5,1,0,14.4542,C
112,113,0,3,male,22.0,0,0,8.05,C
113,114,0,3,female,20.0,1,0,9.825,C
114,115,0,3,female,17.0,0,0,14.4583,C
115,116,0,3,male,21.0,0,0,7.925,C
116,117,0,3,male,70.5,0,0,7.75,C
117,118,0,2,male,29.0,1,0,21.0,C
118,119,0,1,male,24.0,0,1,247.5208,B
119,120,0,3,female,2.0,4,2,31.275,C
120,121,0,2,male,21.0,2,0,73.5,C
121,122,0,3,male,29.69911764705882,0,0,8.05,C
122,123,0,2,male,32.5,1,0,30.0708,C
123,124,1,2,female,32.5,0,0,13.0,E
124,125,0,1,male,54.0,0,1,77.2875,D
125,126,1,3,male,12.0,1,0,11.2417,C
126,127,0,3,male,29.69911764705882,0,0,7.75,C
127,128,1,3,male,24.0,0,0,7.1417,C
128,129,1,3,female,29.69911764705882,1,1,22.3583,F
129,130,0,3,male,45.0,0,0,6.975,C
130,131,0,3,male,33.0,0,0,7.8958,C
131,132,0,3,male,20.0,0,0,7.05,C
132,133,0,3,female,47.0,1,0,14.5,C
133,134,1,2,female,29.0,1,0,26.0,C
134,135,0,2,male,25.0,0,0,13.0,C
135,136,0,2,male,23.0,0,0,15.0458,C
136,137,1,1,female,19.0,0,2,26.2833,D
137,138,0,1,male,37.0,1,0,53.1,C
138,139,0,3,male,16.0,0,0,9.2167,C
139,140,0,1,male,24.0,0,0,79.2,B
140,141,0,3,female,29.69911764705882,0,2,15.2458,C
141,142,1,3,female,22.0,0,0,7.75,C
142,143,1,3,female,24.0,1,0,15.85,C
143,144,0,3,male,19.0,0,0,6.75,C
144,145,0,2,male,18.0,0,0,11.5,C
145,146,0,2,male,19.0,1,1,36.75,C
146,147,1,3,male,27.0,0,0,7.7958,C
147,148,0,3,female,9.0,2,2,34.375,C
148,149,0,2,male,36.5,0,2,26.0,F
149,150,0,2,male,42.0,0,0,13.0,C
150,151,0,2,male,51.0,0,0,12.525,C
151,152,1,1,female,22.0,1,0,66.6,C
152,153,0,3,male,55.5,0,0,8.05,C
153,154,0,3,male,40.5,0,2,14.5,C
154,155,0,3,male,29.69911764705882,0,0,7.3125,C
155,156,0,1,male,51.0,0,1,61.3792,C
156,157,1,3,female,16.0,0,0,7.7333,C
157,158,0,3,male,30.0,0,0,8.05,C
158,159,0,3,male,29.69911764705882,0,0,8.6625,C
159,160,0,3,male,29.69911764705882,8,2,69.55,C
160,161,0,3,male,44.0,0,1,16.1,C
161,162,1,2,female,40.0,0,0,15.75,C
162,163,0,3,male,26.0,0,0,7.775,C
163,164,0,3,male,17.0,0,0,8.6625,C
164,165,0,3,male,1.0,4,1,39.6875,C
165,166,1,3,male,9.0,0,2,20.525,C
166,167,1,1,female,29.69911764705882,0,1,55.0,E
167,168,0,3,female,45.0,1,4,27.9,C
168,169,0,1,male,29.69911764705882,0,0,25.925,C
169,170,0,3,male,28.0,0,0,56.4958,C
170,171,0,1,male,61.0,0,0,33.5,B
171,172,0,3,male,4.0,4,1,29.125,C
172,173,1,3,female,1.0,1,1,11.1333,C
173,174,0,3,male,21.0,0,0,7.925,C
174,175,0,1,male,56.0,0,0,30.6958,A
175,176,0,3,male,18.0,1,1,7.8542,C
176,177,0,3,male,29.69911764705882,3,1,25.4667,C
177,178,0,1,female,50.0,0,0,28.7125,C
178,179,0,2,male,30.0,0,0,13.0,C
179,180,0,3,male,36.0,0,0,0.0,C
180,181,0,3,female,29.69911764705882,8,2,69.55,C
181,182,0,2,male,29.69911764705882,0,0,15.05,C
182,183,0,3,male,9.0,4,2,31.3875,C
183,184,1,2,male,1.0,2,1,39.0,F
184,185,1,3,female,4.0,0,2,22.025,C
185,186,0,1,male,29.69911764705882,0,0,50.0,A
186,187,1,3,female,29.69911764705882,1,0,15.5,C
187,188,1,1,male,45.0,0,0,26.55,C
188,189,0,3,male,40.0,1,1,15.5,C
189,190,0,3,male,36.0,0,0,7.8958,C
190,191,1,2,female,32.0,0,0,13.0,C
191,192,0,2,male,19.0,0,0,13.0,C
192,193,1,3,female,19.0,1,0,7.8542,C
193,194,1,2,male,3.0,1,1,26.0,F
194,195,1,1,female,44.0,0,0,27.7208,B
195,196,1,1,female,58.0,0,0,146.5208,B
196,197,0,3,male,29.69911764705882,0,0,7.75,C
197,198,0,3,male,42.0,0,1,8.4042,C
198,199,1,3,female,29.69911764705882,0,0,7.75,C
199,200,0,2,female,24.0,0,0,13.0,C
200,201,0,3,male,28.0,0,0,9.5,C
201,202,0,3,male,29.69911764705882,8,2,69.55,C
202,203,0,3,male,34.0,0,0,6.4958,C
203,204,0,3,male,45.5,0,0,7.225,C
204,205,1,3,male,18.0,0,0,8.05,C
205,206,0,3,female,2.0,0,1,10.4625,G
206,207,0,3,male,32.0,1,0,15.85,C
207,208,1,3,male,26.0,0,0,18.7875,C
208,209,1,3,female,16.0,0,0,7.75,C
209,210,1,1,male,40.0,0,0,31.0,A
210,211,0,3,male,24.0,0,0,7.05,C
211,212,1,2,female,35.0,0,0,21.0,C
212,213,0,3,male,22.0,0,0,7.25,C
213,214,0,2,male,30.0,0,0,13.0,C
214,215,0,3,male,29.69911764705882,1,0,7.75,C
215,216,1,1,female,31.0,1,0,113.275,D
216,217,1,3,female,27.0,0,0,7.925,C
217,218,0,2,male,42.0,1,0,27.0,C
218,219,1,1,female,32.0,0,0,76.2917,D
219,220,0,2,male,30.0,0,0,10.5,C
220,221,1,3,male,16.0,0,0,8.05,C
221,222,0,2,male,27.0,0,0,13.0,C
222,223,0,3,male,51.0,0,0,8.05,C
223,224,0,3,male,29.69911764705882,0,0,7.8958,C
224,225,1,1,male,38.0,1,0,90.0,C
225,226,0,3,male,22.0,0,0,9.35,C
226,227,1,2,male,19.0,0,0,10.5,C
227,228,0,3,male,20.5,0,0,7.25,C
228,229,0,2,male,18.0,0,0,13.0,C
229,230,0,3,female,29.69911764705882,3,1,25.4667,C
230,231,1,1,female,35.0,1,0,83.475,C
231,232,0,3,male,29.0,0,0,7.775,C
232,233,0,2,male,59.0,0,0,13.5,C
233,234,1,3,female,5.0,4,2,31.3875,C
234,235,0,2,male,24.0,0,0,10.5,C
235,236,0,3,female,29.69911764705882,0,0,7.55,C
236,237,0,2,male,44.0,1,0,26.0,C
237,238,1,2,female,8.0,0,2,26.25,C
238,239,0,2,male,19.0,0,0,10.5,C
239,240,0,2,male,33.0,0,0,12.275,C
240,241,0,3,female,29.69911764705882,1,0,14.4542,C
241,242,1,3,female,29.69911764705882,1,0,15.5,C
242,243,0,2,male,29.0,0,0,10.5,C
243,244,0,3,male,22.0,0,0,7.125,C
244,245,0,3,male,30.0,0,0,7.225,C
245,246,0,1,male,44.0,2,0,90.0,C
246,247,0,3,female,25.0,0,0,7.775,C
247,248,1,2,female,24.0,0,2,14.5,C
248,249,1,1,male,37.0,1,1,52.5542,D
249,250,0,2,male,54.0,1,0,26.0,C
250,251,0,3,male,29.69911764705882,0,0,7.25,C
251,252,0,3,female,29.0,1,1,10.4625,G
252,253,0,1,male,62.0,0,0,26.55,C
253,254,0,3,male,30.0,1,0,16.1,C
254,255,0,3,female,41.0,0,2,20.2125,C
255,256,1,3,female,29.0,0,2,15.2458,C
256,257,1,1,female,29.69911764705882,0,0,79.2,C
257,258,1,1,female,30.0,0,0,86.5,B
258,259,1,1,female,35.0,0,0,512.3292,C
259,260,1,2,female,50.0,0,1,26.0,C
260,261,0,3,male,29.69911764705882,0,0,7.75,C
261,262,1,3,male,3.0,4,2,31.3875,C
262,263,0,1,male,52.0,1,1,79.65,E
263,264,0,1,male,40.0,0,0,0.0,B
264,265,0,3,female,29.69911764705882,0,0,7.75,C
265,266,0,2,male,36.0,0,0,10.5,C
266,267,0,3,male,16.0,4,1,39.6875,C
267,268,1,3,male,25.0,1,0,7.775,C
268,269,1,1,female,58.0,0,1,153.4625,C
269,270,1,1,female,35.0,0,0,135.6333,C
270,271,0,1,male,29.69911764705882,0,0,31.0,C
271,272,1,3,male,25.0,0,0,0.0,C
272,273,1,2,female,41.0,0,1,19.5,C
273,274,0,1,male,37.0,0,1,29.7,C
274,275,1,3,female,29.69911764705882,0,0,7.75,C
275,276,1,1,female,63.0,1,0,77.9583,D
276,277,0,3,female,45.0,0,0,7.75,C
277,278,0,2,male,29.69911764705882,0,0,0.0,C
278,279,0,3,male,7.0,4,1,29.125,C
279,280,1,3,female,35.0,1,1,20.25,C
280,281,0,3,male,65.0,0,0,7.75,C
281,282,0,3,male,28.0,0,0,7.8542,C
282,283,0,3,male,16.0,0,0,9.5,C
283,284,1,3,male,19.0,0,0,8.05,C
284,285,0,1,male,29.69911764705882,0,0,26.0,A
285,286,0,3,male,33.0,0,0,8.6625,C
286,287,1,3,male,30.0,0,0,9.5,C
287,288,0,3,male,22.0,0,0,7.8958,C
288,289,1,2,male,42.0,0,0,13.0,C
289,290,1,3,female,22.0,0,0,7.75,C
290,291,1,1,female,26.0,0,0,78.85,C
291,292,1,1,female,19.0,1,0,91.0792,B
292,293,0,2,male,36.0,0,0,12.875,D
293,294,0,3,female,24.0,0,0,8.85,C
294,295,0,3,male,24.0,0,0,7.8958,C
295,296,0,1,male,29.69911764705882,0,0,27.7208,C
296,297,0,3,male,23.5,0,0,7.2292,C
297,298,0,1,female,2.0,1,2,151.55,C
298,299,1,1,male,29.69911764705882,0,0,30.5,C
299,300,1,1,female,50.0,0,1,247.5208,B
300,301,1,3,female,29.69911764705882,0,0,7.75,C
301,302,1,3,male,29.69911764705882,2,0,23.25,C
302,303,0,3,male,19.0,0,0,0.0,C
303,304,1,2,female,29.69911764705882,0,0,12.35,E
304,305,0,3,male,29.69911764705882,0,0,8.05,C
305,306,1,1,male,0.92,1,2,151.55,C
306,307,1,1,female,29.69911764705882,0,0,110.8833,C
307,308,1,1,female,17.0,1,0,108.9,C
308,309,0,2,male,30.0,1,0,24.0,C
309,310,1,1,female,30.0,0,0,56.9292,E
310,311,1,1,female,24.0,0,0,83.1583,C
311,312,1,1,female,18.0,2,2,262.375,B
312,313,0,2,female,26.0,1,1,26.0,C
313,314,0,3,male,28.0,0,0,7.8958,C
314,315,0,2,male,43.0,1,1,26.25,C
315,316,1,3,female,26.0,0,0,7.8542,C
316,317,1,2,female,24.0,1,0,26.0,C
317,318,0,2,male,54.0,0,0,14.0,C
318,319,1,1,female,31.0,0,2,164.8667,C
319,320,1,1,female,40.0,1,1,134.5,E
320,321,0,3,male,22.0,0,0,7.25,C
321,322,0,3,male,27.0,0,0,7.8958,C
322,323,1,2,female,30.0,0,0,12.35,C
323,324,1,2,female,22.0,1,1,29.0,C
324,325,0,3,male,29.69911764705882,8,2,69.55,C
325,326,1,1,female,36.0,0,0,135.6333,C
326,327,0,3,male,61.0,0,0,6.2375,C
327,328,1,2,female,36.0,0,0,13.0,D
328,329,1,3,female,31.0,1,1,20.525,C
329,330,1,1,female,16.0,0,1,57.9792,B
330,331,1,3,female,29.69911764705882,2,0,23.25,C
331,332,0,1,male,45.5,0,0,28.5,C
332,333,0,1,male,38.0,0,1,153.4625,C
333,334,0,3,male,16.0,2,0,18.0,C
334,335,1,1,female,29.69911764705882,1,0,133.65,C
335,336,0,3,male,29.69911764705882,0,0,7.8958,C
336,337,0,1,male,29.0,1,0,66.6,C
337,338,1,1,female,41.0,0,0,134.5,E
338,339,1,3,male,45.0,0,0,8.05,C
339,340,0,1,male,45.0,0,0,35.5,T
340,341,1,2,male,2.0,1,1,26.0,F
341,342,1,1,female,24.0,3,2,263.0,C
342,343,0,2,male,28.0,0,0,13.0,C
343,344,0,2,male,25.0,0,0,13.0,C
344,345,0,2,male,36.0,0,0,13.0,C
345,346,1,2,female,24.0,0,0,13.0,F
346,347,1,2,female,40.0,0,0,13.0,C
347,348,1,3,female,29.69911764705882,1,0,16.1,C
348,349,1,3,male,3.0,1,1,15.9,C
349,350,0,3,male,42.0,0,0,8.6625,C
350,351,0,3,male,23.0,0,0,9.225,C
351,352,0,1,male,29.69911764705882,0,0,35.0,C
352,353,0,3,male,15.0,1,1,7.2292,C
353,354,0,3,male,25.0,1,0,17.8,C
354,355,0,3,male,29.69911764705882,0,0,7.225,C
355,356,0,3,male,28.0,0,0,9.5,C
356,357,1,1,female,22.0,0,1,55.0,E
357,358,0,2,female,38.0,0,0,13.0,C
358,359,1,3,female,29.69911764705882,0,0,7.8792,C
359,360,1,3,female,29.69911764705882,0,0,7.8792,C
360,361,0,3,male,40.0,1,4,27.9,C
361,362,0,2,male,29.0,1,0,27.7208,C
362,363,0,3,female,45.0,0,1,14.4542,C
363,364,0,3,male,35.0,0,0,7.05,C
364,365,0,3,male,29.69911764705882,1,0,15.5,C
365,366,0,3,male,30.0,0,0,7.25,C
366,367,1,1,female,60.0,1,0,75.25,D
367,368,1,3,female,29.69911764705882,0,0,7.2292,C
368,369,1,3,female,29.69911764705882,0,0,7.75,C
369,370,1,1,female,24.0,0,0,69.3,B
370,371,1,1,male,25.0,1,0,55.4417,E
371,372,0,3,male,18.0,1,0,6.4958,C
372,373,0,3,male,19.0,0,0,8.05,C
373,374,0,1,male,22.0,0,0,135.6333,C
374,375,0,3,female,3.0,3,1,21.075,C
375,376,1,1,female,29.69911764705882,1,0,82.1708,C
376,377,1,3,female,22.0,0,0,7.25,C
377,378,0,1,male,27.0,0,2,211.5,C
378,379,0,3,male,20.0,0,0,4.0125,C
379,380,0,3,male,19.0,0,0,7.775,C
380,381,1,1,female,42.0,0,0,227.525,C
381,382,1,3,female,1.0,0,2,15.7417,C
382,383,0,3,male,32.0,0,0,7.925,C
383,384,1,1,female,35.0,1,0,52.0,C
384,385,0,3,male,29.69911764705882,0,0,7.8958,C
385,386,0,2,male,18.0,0,0,73.5,C
386,387,0,3,male,1.0,5,2,46.9,C
387,388,1,2,female,36.0,0,0,13.0,C
388,389,0,3,male,29.69911764705882,0,0,7.7292,C
389,390,1,2,female,17.0,0,0,12.0,C
390,391,1,1,male,36.0,1,2,120.0,B
391,392,1,3,male,21.0,0,0,7.7958,C
392,393,0,3,male,28.0,2,0,7.925,C
393,394,1,1,female,23.0,1,0,113.275,D
394,395,1,3,female,24.0,0,2,16.7,G
395,396,0,3,male,22.0,0,0,7.7958,C
396,397,0,3,female,31.0,0,0,7.8542,C
397,398,0,2,male,46.0,0,0,26.0,C
398,399,0,2,male,23.0,0,0,10.5,C
399,400,1,2,female,28.0,0,0,12.65,C
400,401,1,3,male,39.0,0,0,7.925,C
401,402,0,3,male,26.0,0,0,8.05,C
402,403,0,3,female,21.0,1,0,9.825,C
403,404,0,3,male,28.0,1,0,15.85,C
404,405,0,3,female,20.0,0,0,8.6625,C
405,406,0,2,male,34.0,1,0,21.0,C
406,407,0,3,male,51.0,0,0,7.75,C
407,408,1,2,male,3.0,1,1,18.75,C
408,409,0,3,male,21.0,0,0,7.775,C
409,410,0,3,female,29.69911764705882,3,1,25.4667,C
410,411,0,3,male,29.69911764705882,0,0,7.8958,C
411,412,0,3,male,29.69911764705882,0,0,6.8583,C
412,413,1,1,female,33.0,1,0,90.0,C
413,414,0,2,male,29.69911764705882,0,0,0.0,C
414,415,1,3,male,44.0,0,0,7.925,C
415,416,0,3,female,29.69911764705882,0,0,8.05,C
416,417,1,2,female,34.0,1,1,32.5,C
417,418,1,2,female,18.0,0,2,13.0,C
418,419,0,2,male,30.0,0,0,13.0,C
419,420,0,3,female,10.0,0,2,24.15,C
420,421,0,3,male,29.69911764705882,0,0,7.8958,C
421,422,0,3,male,21.0,0,0,7.7333,C
422,423,0,3,male,29.0,0,0,7.875,C
423,424,0,3,female,28.0,1,1,14.4,C
424,425,0,3,male,18.0,1,1,20.2125,C
425,426,0,3,male,29.69911764705882,0,0,7.25,C
426,427,1,2,female,28.0,1,0,26.0,C
427,428,1,2,female,19.0,0,0,26.0,C
428,429,0,3,male,29.69911764705882,0,0,7.75,C
429,430,1,3,male,32.0,0,0,8.05,E
430,431,1,1,male,28.0,0,0,26.55,C
431,432,1,3,female,29.69911764705882,1,0,16.1,C
432,433,1,2,female,42.0,1,0,26.0,C
433,434,0,3,male,17.0,0,0,7.125,C
434,435,0,1,male,50.0,1,0,55.9,E
435,436,1,1,female,14.0,1,2,120.0,B
436,437,0,3,female,21.0,2,2,34.375,C
437,438,1,2,female,24.0,2,3,18.75,C
438,439,0,1,male,64.0,1,4,263.0,C
439,440,0,2,male,31.0,0,0,10.5,C
440,441,1,2,female,45.0,1,1,26.25,C
441,442,0,3,male,20.0,0,0,9.5,C
442,443,0,3,male,25.0,1,0,7.775,C
443,444,1,2,female,28.0,0,0,13.0,C
444,445,1,3,male,29.69911764705882,0,0,8.1125,C
445,446,1,1,male,4.0,0,2,81.8583,A
446,447,1,2,female,13.0,0,1,19.5,C
